key,ru,en,zh,hi,es
balance_title,💰 <b>Ваш баланс</b>,💰 <b>Your balance</b>,💰 <b>您的余额</b>,💰 <b>आपका बैलेंस</b>,💰 <b>Tu saldo</b>
bg_label_beige,бежевый,beige,浅褐色的,बेज,beige
bg_label_black,чёрный,black,黑色的,काला,negro
bg_label_pink,розовый,pink,粉色的,गुलाबी,rosa
bg_label_white,белый,white,白色的,सफ़ेद,blanco
btn_add_rear_view,🔄 Добавить ракурс «сзади»,🔄 Add a back angle,🔄 添加后角度,🔄 पीछे का कोण जोड़ें,🔄Añadir un ángulo de espalda
btn_age_child,Ребёнок,Child,孩子,बच्चा,Niño
btn_age_senior,Пожилой,Elderly,老年,बुज़ुर्ग,Anciano
btn_age_teen,Подросток,Teenager,青少年,किशोर,Adolescente
btn_age_young,Молодой взрослый (самый востребованный,Young adult (most in demand),青年人（需求量最大）,युवा वयस्क (सबसे अधिक मांग में),Adulto joven (el más solicitado)
btn_approve,✅ Одобрить,✅ Approve,✅ 批准,✅ अनुमोदन करें,✅ Aprobar
btn_aspect_16_9,16:9,16:9,16:9,16:9,16:9
btn_aspect_1_1,1:1,1:1,1:1,1:1,1:1
btn_aspect_3_4,3:4,3:4,3:4,3:4,3:4
btn_aspect_9_16,9:16,9:16,9:16,9:16,9:16
btn_back,Назад,Back,后退,पीछे,Atrás
btn_balance,💰 Баланс,💰 Balance,💰 平衡,💰 संतुलन,💰 Equilibrio
btn_bg_beige,Бежевый фон,Beige background,米色背景,बेज पृष्ठभूमि,Fondo beige
btn_bg_black,Чёрный фон,Black background,黑色背景,काली पृष्ठभूमि,Fondo negro
btn_bg_pink,Розовый фон,Pink background,粉色背景,गुलाबी पृष्ठभूमि,Fondo rosa
btn_bg_white,Белый фон,White background,白色背景,सफेद पृष्ठभूमि,Fondo blanco
btn_change_angle,📐 Сменить ракурс,📐 Change the angle,📐 改变角度,📐 कोण बदलें,📐 Cambiar el ángulo
btn_change_angle_5x,📐📐📐 Сменить ракурс 5 раз,📐📐📐 Change angle 5 times,📐📐📐 改变角度 5 次,📐📐📐 कोण को 5 बार बदलें,📐📐📐 Cambia el ángulo 5 veces
btn_change_pose,🧍 Сменить позу,🧍 Change your position,🧍 改变你的姿势,🧍 अपनी स्थिति बदलें,🧍 Cambia tu posición
btn_change_pose_5x,🧍🧍🧍 Сменить позу 5 раз,🧍🧍🧍 Change positions 5 times,🧍🧍🧍 换位 5 次,🧍🧍🧍 5 बार अपनी स्थिति बदलें,🧍🧍🧍 Cambia de posición 5 veces
btn_check_payment,✅ Проверить оплату,✅ Check payment,✅ 检查付款,✅ चेक से भुगतान करें,✅ Consultar pago
btn_confirm_next,Далее,Next,下一个,अगला,Próximo
btn_confirm_topup,Пополнить баланс,Top up your balance,充值余额,अपना बैलेंस टॉप अप करें,Recarga tu saldo
btn_continue_variants,➡️ Продолжить,➡️ Continue,➡️ 继续,➡️ जारी रखें,➡️ Continuar
btn_create_new_payment,🔄 Создать новый платеж,🔄 Create a new payment,🔄 创建新的付款方式,🔄 नया भुगतान बनाएं,🔄Crear un nuevo pago
btn_download,⬇️ Скачать,⬇️ Download,⬇️ 下载,⬇️ डाउनलोड करें,⬇️ Descargar
btn_finish_photo,✅ Завершить,✅ Complete,✅ 已完成,✅ पूर्ण,✅ Completo
btn_full_body,👤 В полный рост (бета),👤 Full-length (beta),👤完整版（测试版）,👤 पूर्ण संस्करण (बीटा),👤 Versión completa (beta)
btn_gender_female,Женщина,Woman,女士,महिला,Mujer
btn_gender_male,Мужчина,Man,男人,आदमी,Hombre
btn_hair_any,Любой,Any,任何,कोई,Cualquier
btn_hair_dark,Тёмные,Dark,黑暗的,अँधेरा,Oscuro
btn_hair_light,Светлые,Light,光,रोशनी,Luz
btn_history,📜 История,📜 History,📜 历史,📜 इतिहास,📜 Historia
btn_lower_body,👖 Низ тела (бета),👖 Lower body (beta),👖 下半身（测试版）,👖 निचला शरीर (बीटा),👖 Parte inferior del cuerpo (beta)
btn_mode_all_items,Задать единые настройки для всех вещей (быстрее),Set uniform settings for all things (faster),为所有事物设置统一参数（速度更快）,सभी चीजों के लिए एक समान सेटिंग्स सेट करें (तेजी से),Establecer configuraciones uniformes para todas las cosas (más rápido)
btn_mode_per_item,Задать настройки для каждой вещи отдельно,Set settings for each item separately,分别设置每个项目的参数。,प्रत्येक आइटम के लिए सेटिंग्स अलग-अलग सेट करें,Establezca configuraciones para cada elemento por separado
btn_next,Далее,Next,下一个,अगला,Próximo
btn_next_page,Вперёд ▶️,Forward ▶️,前进 ▶️,आगे बढ़ें ▶️,Adelante ▶️
btn_no_continue,"❌ Нет, продолжить","❌ No, continue",❌ 不，继续,"❌ नहीं, जारी रखें","❌ No, continúa"
btn_no_rear_photo,❌ У меня нет фото сзади (менее эффективно),❌ I don't have a photo from behind (less effective),❌ 我没有背面的照片（效果不太好）。,❌ मेरे पास पीछे से ली गई कोई तस्वीर नहीं है (कम प्रभावी)।,❌ No tengo foto de atrás (menos efectiva)
btn_pay_now,💳 Перейти к оплате,💳 Proceed to payment,💳 前往付款,💳 भुगतान के लिए आगे बढ़ें,💳 Proceder al pago
btn_pay_stars,⭐️ Telegram Stars,⭐️ Telegram Stars,⭐️ Telegram 明星,⭐️ टेलीग्राम स्टार्स,⭐️ Estrellas de Telegram
btn_pay_yookassa,💳 Банковская карта (YooKassa),💳 Bank card (YooKassa),💳 银行卡（YooKassa）,💳 बैंक कार्ड (YooKassa),💳 Tarjeta bancaria (YooKassa)
btn_prev_page,◀️ Назад,◀️ Back,◀️ 返回,◀️ वापस,◀️ Atrás
btn_redo,🔄 Переделать,🔄 Remake,🔄 重制版,🔄 रीमेक,🔄 Nueva versión
btn_redo_new,⚙️ Переделать с новыми настройками,⚙️ Remake with new settings,⚙️ 使用新设置重新制作,⚙️ नई सेटिंग्स के साथ रीमेक किया गया,⚙️ Remake con nuevos ajustes
btn_redo_same,🔄 Переделать с теми же настройками,🔄 Remake with the same settings,🔄 使用相同的设置重新制作,🔄 समान सेटिंग्स के साथ रीमेक,🔄 Remake con la misma configuración
btn_redo_variant,🔄 Переделать,🔄 Remake,🔄 重制版,🔄 रीमेक,🔄 Nueva versión
btn_reject,❌ Отклонить,❌ Reject,❌拒绝,❌ अस्वीकार करें,❌ Rechazar
btn_return_menu,🏠 Вернуться в главное меню,🏠 Return to the main menu,🏠 返回主菜单,🏠 मुख्य मेनू पर वापस जाएँ,🏠 Volver al menú principal
btn_start,Начать,Begin,开始,शुरू,Comenzar
btn_style_casual,Кэжуал,Casual,随意的,अनौपचारिक,Casual
btn_style_luxury,Люксовый,Luxury,奢华,विलासिता,Lujo
btn_style_sport,Спортивный,Sports,运动的,खेल,Deportes
btn_style_strict,Строгий,Strict,严格的,कठोर,Estricto
btn_topup,💳 Пополнить,💳 Top up,💳 充值,💳 टॉप अप करें,💳 Recarga
btn_topup_balance,💳 Пополнить,💳 Top up,💳 充值,💳 टॉप अप करें,💳 Recarga
btn_upload_flat,Фото одежды,Photos of clothes,服装照片,कपड़ों की तस्वीरें,Fotos de ropa
btn_upload_on_mannequin,Фото на манекене,Photo on a mannequin,人体模型上的照片,एक पुतले पर लगी तस्वीर,Fotografía en un maniquí
btn_upload_on_person,Фото на человеке,Photo on a person,人像照片,किसी व्यक्ति की तस्वीर,Foto de una persona
btn_upper_body,👔 Верх тела (бета),👔 Upper Body (Beta),👔 上半身（测试版）,👔 ऊपरी शरीर (बीटा),Parte superior del cuerpo (Beta)
btn_use_as_base,🎨 Использовать как базу,🎨 Use as a base,🎨 用作底座,🎨 इसे बेस के रूप में इस्तेमाल करें,🎨 Úselo como base
btn_yes_finish,"✅ Да, завершить","✅ Yes, complete",✅ 是的，已完成,"✅ हाँ, पूरा","✅ Sí, completo"
cancel_done,Текущий сценарий отменён. Вы в главном меню.,The current scenario has been cancelled. You are back to the main menu.,当前场景已取消。您已返回主菜单。,वर्तमान परिदृश्य रद्द कर दिया गया है। आप मुख्य मेनू पर वापस आ गए हैं।,El escenario actual ha sido cancelado. Has vuelto al menú principal.
choose_lang_title,Выберите язык интерфейса:,Select interface language:,选择界面语言：,इंटरफ़ेस भाषा चुनें:,Seleccionar el idioma de la interfaz:
confirm_finish_photo,"Вы уверены, что хотите завершить работу с этим фото?",Are you sure you want to finish working with this photo?,你确定要完成对这张照片的处理吗？,क्या आप वाकई इस फोटो पर काम पूरा करना चाहते हैं?,¿Estás seguro de que deseas terminar de trabajar con esta foto?
confirm_generation_not_enough,Недостаточно генераций на балансе. Пополните баланс через /buy или уменьшите количество запрашиваемых фото.,Not enough generations in your balance. Top up your balance via /buy or reduce the number of photos requested.,您的余额不足，无法进行更多次的拍摄。请通过 /buy 命令充值，或减少请求的照片数量。,आपके खाते में पर्याप्त संख्या में फ़ोटो नहीं हैं। /buy के माध्यम से अपना खाता भरें या अनुरोधित फ़ोटो की संख्या कम करें।,No hay suficientes generaciones en tu saldo. Recarga tu saldo con /comprar o reduce la cantidad de fotos solicitadas.
confirm_generation_ok,"Нажмите «Далее», чтобы создать фотографии.",Click Next to create photos.,点击“下一步”创建照片。,फोटो बनाने के लिए Next पर क्लिक करें।,Haga clic en Siguiente para crear fotos.
confirm_generation_title,"<b>Проверка перед генерацией</b>

Количество вещей: {items}
Фон: {background}
Пол: {gender}
Волосы: {hair}
Возраст: {age}
Стиль: {style}
Соотношение сторон: {aspect}

Ваш баланс: {balance} генераций.
Вы создаёте {photos} фото.","<b>Check before generation</b>

Number of items: {items}
Background: {background}
Gender: {gender}
Hair: {hair}
Age: {age}
Style: {style}
Aspect ratio: {aspect}

Your balance: {balance} generations.
You create {photos} photos.","<b>生成前请检查</b>

物品数量：{items}

背景：{background}

性别：{gender}

发型：{hair}

年龄：{age}

风格：{style}

宽高比：{aspect}

您的剩余生成次数：{balance} 次。

您创建了 {photos} 张照片。","जनरेशन से पहले जांच लें

आइटमों की संख्या: {आइटम}
पृष्ठभूमि: {पृष्ठभूमि}
लिंग: {लिंग}
बाल: {बाल}
आयु: {आयु}
शैली: {शैली}
आस्पेक्ट रेशियो: {आस्पेक्ट}

आपका बैलेंस: {बैलेंस} जनरेशन।
आप {फ़ोटो} फ़ोटो बनाते हैं।","Verificar antes de generar

Número de elementos: {elementos}
Fondo: {fondo}
Género: {género}
Cabello: {cabello}
Edad: {edad}
Estilo: {estilo}
Relación de aspecto: {aspecto}

Tu saldo: {saldo} generaciones.
Creas {fotos} fotos."
examples_soon,"Раздел с примерами пока в разработке.
Позже здесь появятся реальные кейсы, собранные из ваших генераций.","The examples section is still under development.
Real-life cases compiled from your generations will appear here later.","示例部分仍在开发中。

稍后将在此处展示来自各位的真实案例。","उदाहरण अनुभाग अभी भी विकास के अधीन है।
आपकी पीढ़ी से संकलित वास्तविक जीवन के उदाहरण बाद में यहां दिखाई देंगे।","La sección de ejemplos aún está en desarrollo.
Más adelante, se publicarán aquí casos reales recopilados de sus generaciones."
gender_choose_title,Выберите пол модели:,Select model gender:,选择模特性别：,मॉडल का लिंग चुनें:,Seleccione el género del modelo:
gender_selected_stub,"Пол модели сохранён. На следующем шаге будет выбор цвета волос, возраста, стиля и соотношения сторон.","The model's gender has been saved. The next step will be to select hair color, age, style, and aspect ratio.",模型性别已保存。下一步将选择头发颜色、年龄、发型和宽高比。,"मॉडल का लिंग सेव हो चुका है। अगला चरण बालों का रंग, उम्र, स्टाइल और आस्पेक्ट रेशियो का चयन करना होगा।","Se ha guardado el género del modelo. El siguiente paso será seleccionar el color de pelo, la edad, el estilo y la proporción."
generate_intro_short,"Чтобы создать примерочный кадр, нужно загрузить фото вещи и задать параметры.

Нажмите «Начать», чтобы изучить рекомендации к фото и выбрать тип снимка.","To create a try-on photo, upload a photo of the item and set the parameters.

Click ""Start"" to review photo recommendations and select the photo type.","要创建试穿照片，请上传商品照片并设置参数。

点击“开始”查看照片推荐并选择照片类型。","ट्राई-ऑन फोटो बनाने के लिए, आइटम की फोटो अपलोड करें और पैरामीटर सेट करें।

फोटो के सुझाव देखने और फोटो का प्रकार चुनने के लिए ""स्टार्ट"" पर क्लिक करें।","Para crear una foto de prueba, sube una foto del artículo y configura los parámetros.

Haz clic en ""Iniciar"" para revisar las recomendaciones de fotos y seleccionar el tipo de foto."
generate_stub_registered,"Запрос на генерацию зарегистрирован (ID: {gen_id}).
Логика конструктора и вызова Seedream 4.0 будет подключена на следующем этапе разработки.","The generation request has been registered (ID: {gen_id}).
The constructor and Seedream 4.0 call logic will be included in the next stage of development.","生成请求已注册（ID：{gen_id}）。

构造函数和 Seedream 4.0 调用逻辑将在下一开发阶段添加。","जनरेशन अनुरोध पंजीकृत हो चुका है (आईडी: {gen_id})।
कंस्ट्रक्टर और सीड्रीम 4.0 कॉल लॉजिक को विकास के अगले चरण में शामिल किया जाएगा।","Se ha registrado la solicitud de generación (ID: {gen_id}).
El constructor y la lógica de llamada de Seedream 4.0 se incluirán en la siguiente etapa de desarrollo."
generation_done,Готово! Вот сгенерированный кадр.,Done! Here's the generated frame.,完成！这是生成的帧。,हो गया! यह रहा जनरेट किया गया फ्रेम।,¡Listo! Aquí está el marco generado.
generation_failed,Не удалось выполнить генерацию. Попробуйте ещё раз или обратитесь в поддержку.,Generation failed. Please try again or contact support.,生成失败。请重试或联系技术支持。,जनरेशन विफल हो गई। कृपया पुनः प्रयास करें या सहायता टीम से संपर्क करें।,Error en la generación. Inténtalo de nuevo o contacta con el soporte técnico.
hair_need_one,"Выберите хотя бы один вариант цвета волос, чтобы продолжить.",Please select at least one hair color option to continue.,请至少选择一种发色选项以继续。,आगे बढ़ने के लिए कृपया कम से कम एक हेयर कलर विकल्प चुनें।,Seleccione al menos una opción de color de cabello para continuar.
hair_selected_header,Выбранные цвета волос:,Selected hair colors:,精选发色：,चयनित बालों के रंग:,Colores de cabello seleccionados:
help_header,Доступные команды,Available commands,可用命令,उपलब्ध कमांड,Comandos disponibles
help_items.buy,Пополнить баланс звёздами,Top up your balance with stars,用星星充值您的余额,सितारों से अपना बैलेंस बढ़ाएं,Recarga tu saldo con estrellas
help_items.cancel,Отменить текущий сценарий,Cancel the current scenario,取消当前场景,वर्तमान परिदृश्य को रद्द करें,Cancelar el escenario actual
help_items.examples,Посмотреть примеры (заглушка),View examples (stub),查看示例（存根）,उदाहरण देखें (अधूरा भाग),Ver ejemplos (stub)
help_items.generate,Сгенерировать примерочный кадр по фото вещи,Generate a fitting frame from a photo of the item,根据物品照片生成合适的相框,वस्तु की तस्वीर से एक उपयुक्त फ्रेम बनाएं,Generar un marco adecuado a partir de una foto del artículo.
help_items.help,Показать справку по командам,Show command help,显示命令帮助,कमांड सहायता दिखाएँ,Mostrar ayuda del comando
help_items.language,Выбрать язык интерфейса,Select interface language,选择界面语言,इंटरफ़ेस भाषा का चयन करें,Seleccionar el idioma de la interfaz
help_items.profile,Показать профиль и баланс,Show profile and balance,显示概况和平衡,प्रोफ़ाइल और बैलेंस दिखाएँ,Mostrar perfil y saldo
help_items.start,Сбросить состояние и показать приветственное сообщение,Reset state and show welcome message,重置状态并显示欢迎消息,स्थिति रीसेट करें और स्वागत संदेश दिखाएं,Restablecer estado y mostrar mensaje de bienvenida
history_empty,У вас пока нет завершённых генераций.,You don't have any completed generations yet.,您目前还没有任何已完成的世代。,अभी तक आपकी कोई भी पीढ़ी पूरी नहीं हुई है।,Aún no tienes ninguna generación completada.
history_item,"📅 {datetime}
💰 Стоимость: {cost} кредитов
📝 Параметры: {params}","📅 {datetime}
💰 Cost: {cost} credits
📝 Parameters: {params}","📅 {datetime}

💰 费用：{cost} 积分

📝 参数：{params}","📅 {datetime}
💰 लागत: {cost} क्रेडिट
📝 पैरामीटर: {params}","📅 {datetime}
💰 Costo: {cost} créditos
📝 Parámetros: {params}"
history_month_limit,Показаны генерации за последний месяц,Generations for the last month are shown,显示了上个月的世代数据。,पिछले महीने की पीढ़ियों को दर्शाया गया है।,Se muestran las generaciones del último mes.
history_page,Страница {page} из {total},Page {page} of {total},第 {page} 页，共 {total} 页,कुल पृष्ठों में से {पृष्ठ},Página {page} de {total}
history_title,📜 <b>История генераций</b>,📜 <b>Generation history</b>,📜 <b>世代历史</b>,📜 <b>पीढ़ीगत इतिहास</b>,📜 <b>Historial generacional</b>
insufficient_balance,"Недостаточно средств для повторной генерации. Пожалуйста, пополните баланс.",Insufficient funds to regenerate. Please top up your balance.,余额不足，无法充值。请充值。,पुनर्जीवन के लिए अपर्याप्त धनराशि। कृपया अपनी धनराशि बढ़ाएँ।,"No hay fondos suficientes para regenerar. Por favor, recargue su saldo."
invoice_desc,"Оплатите удобное количество звёзд. В этом демо 1 звезда = 1 кредит генерации.
После оплаты баланс будет автоматически пополнен.","Pay for a convenient number of stars. In this demo, 1 star = 1 generation credit.
After payment, your balance will be automatically replenished.","付费购买所需数量的星星。在本演示中，1 颗星星 = 1 个世代积分。

付款后，您的余额将自动补充。","अपनी सुविधानुसार सितारों की संख्या के लिए भुगतान करें। इस डेमो में, 1 स्टार = 1 जनरेशन क्रेडिट।
भुगतान के बाद, आपका बैलेंस अपने आप रीचार्ज हो जाएगा।","Paga por una cantidad conveniente de estrellas. En esta demo, 1 estrella = 1 crédito generacional.
Tras el pago, tu saldo se recargará automáticamente."
invoice_title,Пополнение баланса (звёзды),Balance replenishment (stars),余额补充（星级）,बैलेंस पुनःपूर्ति (सितारे),Reposición de saldo (estrellas)
kb_examples,📸 Примеры,📸 Examples,📸 示例,📸 उदाहरण,📸 Ejemplos
kb_generation,🎨 Генерация,🎨 Generation,🎨一代,🎨 पीढ़ी,🎨 Generación
kb_my_account,👤 Мой аккаунт,👤 My account,👤 我的账号,👤 मेरा खाता,👤 Mi cuenta
lang_switched,Язык интерфейса переключен на: {language},Interface language switched to: {language},界面语言已切换为：{language},इंटरफ़ेस की भाषा बदलकर यह हो गई है: {language},El idioma de la interfaz se cambió a: {idioma}
moving_to_angles,Переход к выбору новых ракурсов и поз...,Moving on to choosing new angles and poses...,接下来要选择新的角度和姿势……,अब नए एंगल और पोज चुनने की बारी है...,Pasando a elegir nuevos ángulos y poses...
moving_to_next_base,Переход к следующему базовому фото...,Moving on to the next base photo...,接下来是下一张基地照片……,अब अगले बेस फोटो की ओर बढ़ते हैं...,Pasando a la siguiente foto base...
multi_items_intro,"Вы загрузили {count} вещей.

Далее вы сможете выбрать фон, пол, возраст и цвет волос модели, соотношение сторон и стиль фото на выходе.

Что вам удобнее?","You've uploaded {count} items.

Next, you'll be able to choose the background, gender, age, and hair color of the model, as well as the aspect ratio and style of the final photo.

What's more convenient for you?","您已上传 {count} 件商品。

接下来，您可以选择模特的背景、性别、年龄和发色，以及最终照片的宽高比和风格。

哪种方式对您来说更方便？","आपने {count} आइटम अपलोड कर दिए हैं।

इसके बाद, आप मॉडल का बैकग्राउंड, लिंग, उम्र और बालों का रंग चुन सकेंगे, साथ ही अंतिम फ़ोटो का आस्पेक्ट रेशियो और स्टाइल भी चुन सकेंगे।

आपके लिए क्या ज़्यादा सुविधाजनक है?","Has subido {count} elementos.

A continuación, podrás elegir el fondo, el género, la edad y el color de pelo de la modelo, así como la relación de aspecto y el estilo de la foto final.

¿Qué te resulta más cómodo?"
multi_items_not_supported,Сейчас бот поддерживает генерацию только по одной вещи за раз. Сценарий для нескольких вещей скоро появится.,"Currently, the bot only supports generating one item at a time. A script for multiple items will be available soon.",目前，该机器人一次仅支持生成一个物品。支持生成多个物品的脚本即将推出。,"फिलहाल, यह बॉट एक बार में केवल एक ही आइटम जनरेट कर सकता है। एक से अधिक आइटम जनरेट करने के लिए स्क्रिप्ट जल्द ही उपलब्ध होगी।","Actualmente, el bot solo permite generar un elemento a la vez. Próximamente estará disponible un script para varios elementos."
no_credits,Недостаточно кредитов для генерации. Пополните баланс через /buy.,Not enough credits to generate. Top up your balance via /buy.,积分不足，无法生成奖励。请通过 /buy 命令充值。,पर्याप्त क्रेडिट नहीं हैं। /buy के माध्यम से अपना बैलेंस टॉप अप करें।,No hay suficientes créditos para generar. Recarga tu saldo con /buy.
no_more_photos,Больше нет фотографий в очереди.,There are no more photos in the queue.,队列中已无照片。,अब कतार में और तस्वीरें नहीं ली जा सकतीं।,No hay más fotos en la cola.
payment_method_desc,Выберите удобный для вас способ пополнения баланса:,Choose a convenient way to top up your balance:,选择一种便捷的充值方式：,अपने बैलेंस में राशि जमा करने के लिए एक सुविधाजनक तरीका चुनें:,Elige una forma conveniente de recargar tu saldo:
payment_method_title,💳 <b>Выберите способ оплаты</b>,💳 <b>Select a payment method</b>,💳 <b>选择付款方式</b>,💳 <b>भुगतान विधि चुनें</b>,💳 <b>Selecciona un método de pago</b>
payment_ok,"Оплата звёздами прошла успешно.
ID транзакции: {charge_id}
Начислено звёзд: {amount}","Payment with stars was successful.
Transaction ID: {charge_id}
Stars awarded: {amount}","使用星星支付成功。

交易 ID：{charge_id}

获得的星星数量：{amount}","स्टार्स के माध्यम से भुगतान सफल रहा।
लेनदेन आईडी: {charge_id}
प्राप्त स्टार्स: {amount}","Pago con estrellas exitoso.
ID de transacción: {charge_id}
Estrellas otorgadas: {amount}"
payment_stars_desc,Оплата через Telegram Stars,Payment via Telegram Stars,通过 Telegram Stars 付款,टेलीग्राम स्टार्स के माध्यम से भुगतान,Pago a través de Telegram Stars
payment_yookassa_desc,Оплата банковской картой через YooKassa,Payment by bank card through YooKassa,通过 YooKassa 使用银行卡付款,YooKassa के माध्यम से बैंक कार्ड द्वारा भुगतान,Pago con tarjeta bancaria a través de YooKassa
photo_approved,Фото утверждено!,Photo approved!,照片已通过！,फोटो स्वीकृत!,¡Foto aprobada!
photo_rejected,Фото отклонено.,Photo rejected.,照片被拒。,फोटो अस्वीकृत।,Foto rechazada.
photo_review_question,"Внимательно отнеситесь к изучению этой фотографии - она будет базой для остальных
фото данной вещи - других ракурсов и поз.
Ошибки и не соответствия на первом кадре - это нормально. Просто нажимайте кнопку
«переделать», пока не получите подходящий результат. Главное - выбрать удачный
первый кадр. Остальные фото, созданные на основе него (другие ракурсы, позы) - будут
стабильнее.","Study this photo carefully – it will serve as the basis for other photos of this item, from different angles and poses.

Errors and inconsistencies in the first frame are normal. Just click the ""retake"" button until you get a suitable result. The main thing is to choose a good first frame. The remaining photos created from it (from different angles and poses) will be more consistent.","仔细观察这张照片——它将作为其他角度和姿势拍摄该物品照片的基础。

第一张照片出现错误和不一致是正常的。只需点击“重拍”按钮，直到获得满意的结果。关键是要选择一张好的第一张照片。基于这张照片拍摄的后续照片（从不同角度和姿势拍摄）会更加一致。","इस तस्वीर को ध्यान से देखें – यह इस वस्तु की अन्य तस्वीरों के लिए आधार बनेगी, जिन्हें अलग-अलग कोणों और मुद्राओं में लिया जाएगा।

पहले फ्रेम में त्रुटियां और असमानताएं होना सामान्य बात है। जब तक आपको सही परिणाम न मिल जाए, तब तक ""रीटेक"" बटन पर क्लिक करते रहें। मुख्य बात यह है कि एक अच्छा पहला फ्रेम चुनें। इससे ली गई बाकी तस्वीरें (अलग-अलग कोणों और मुद्राओं में) अधिक सुसंगत होंगी।","Estudia esta foto detenidamente; te servirá de base para otras fotos de este objeto, desde diferentes ángulos y poses.

Es normal que haya errores e inconsistencias en la primera toma. Simplemente haz clic en el botón ""Retomar"" hasta obtener un resultado adecuado. Lo principal es elegir una buena primera toma. Las siguientes fotos creadas a partir de ella (desde diferentes ángulos y poses) serán más consistentes."
photo_review_title,Фото {current} из {total},Photo {current} of {total},照片 {current} 共 {total} 张照片,कुल का वर्तमान फोटो,Foto {actual} de {total}
